UBO,gbXML,gbXML_geometryPath,IFC,IFC_geometryPath
,WFTDPressure ,Pset_SpaceFireSafetyRequirements-Pset_OutsideDesignCriteria,,
,WFTDRelHumidity ,Pset_SpaceFireSafetyRequirements-Pset_OutsideDesignCriteria,,
,WFTDTemp ,Pset_SpaceFireSafetyRequirements-Pset_OutsideDesignCriteria,,
,WFTDWindDir ,Pset_SpaceFireSafetyRequirements-Pset_OutsideDesignCriteria,,
,WFTDWindSpeed ,Pset_SpaceFireSafetyRequirements-Pset_OutsideDesignCriteria,,
,Width ,IfcLengthMeasure,,
,WindowType ,IfcWindowType-IfcWindowStyle-IfcWindowTypeEnum,,
,WindSpeed ,IfcWindowTypeEnum,,
,XAxis ,IfcGridAxis-IfcAxis1Placement-IfcAxis1Placement-IfcBaseAxis,,
,YAxis ,IfcGridAxis-IfcAxis2Placement-IfcAxis1Placement-IfcBaseAxis,,
,YearModeled ,ifcDate-IfcTime,,
,YearSchedule ,IfcTask,,
,ZipCode ,IfcAddress-IfcPostalAddress,,
,ZipcodeOrPostalCode ,IfcAddress-IfcPostalAddress,,
,Zone ,IfcZone,,
,ZoneCoolingLoad ,Pset_SpaceThermalLoad-IfcZone-Pset_ZoneCommon-Pset_ServiceLifeFactors,,
,absorptanceUnitEnum ,IfcUnitEnum,,
,airTemperatureTypeEnum ,IfcThermodynamicTemperatureMeasure,,
,areaUnitEnum ,IfcAreaMeasure,,
,blowerDoorUnitEnum ,Pset_AirSideSystemInformation-IfcVolumetricFlowRateMeasure ,,
,buildingTypeEnum ,Pset_BuildingUse-Pset_SpaceOccupancyRequirements,,
,capacityTypeEnum ,IfcVolumeMeasure-Pset_SpaceThermalLoad,,
,capacityUnitEnum ,IfcVolumeMeasure-IfcUnitEnum,,
,conditioningTypeEnum ,Pset_UnitaryEquipmentTypeAirConditioningUnit-IfcUnitaryEquipment,,
,conditioningUnitEnum ,Pset_UnitaryEquipmentTypeAirConditioningUnit-IfcUnitaryEquipment,,
,conditionTypeEnum ,Pset_Condition,,
,conductivityFofTUnitEnum ,IfcThermalTransmittanceMeasure,,
,conductivityUnitEnum ,IfcThermalConductivityMeasure,,
,controlTypeEnum ,IfcFlowControllerType,,
,costTypeEnum ,IfcCostItemTypeEnum,,
,currencyTypeEnum ,IfcCostItemTypeEnum,,
,dayTypeEnum ,IfcDate-IfcDayInMonthNumber-IfcDayInWeekNumber,,
,deltaPUnitEnum ,IfcPressureMeasure,,
,densityFofTUnitEnum ,IfcHeatFluxDensityMeasure,,
,densityUnitEnum ,IfcMassDensityMeasure,,
,directionUnitEnum ,IfcDirection-IfcDimensionCount,,
,efficiencyTypeEnum ,IfcPerformanceHistoryTypeEnum,,
,emissionUnitEnum ,Pset_AirSideSystemInformation,,
,emittanceTypeEnum ,IfcTemperatureGradientMeasure,,
,energyUnitEnum ,IfcEnergyMeasure,,
,enthalpyUnitEnum ,IfcHeatFluxDensityMeasure,,
,entityTypeEnum ,null,,
,equipmentTypeEnum ,IfcConstructionEquipmentResourceTypeEnum,,
,extEquipTypeEnum ,IfcConstructionEquipmentResourceTypeEnum,,
,floorCategoryEnum ,IfcSlabType,,
,floorSlabPerimeterHeatLossCoefficientUnitTypeEnum ,IfcSlab-Pset_ManufacturerTypeInformation,,
,flowPerAreaUnitEnum ,Pset_AirSideSystemInformation-IfcVolumetricFlowRateMeasure,,
,flowUnitEnum ,Pset_AirSideSystemInformation-IfcVolumetricFlowRateMeasure,,
,fluidTypeEnum ,IfcMaterialProperties-Pset_MaterialCommon-Pset_MaterialWater,,
,frameTypeEnum ,IfcDoorStyle-IfcWindowStyle,,
,fuelLoadUnitEnum ,IfcMaterialProperties-Pset_MaterialCommon-Pset_MaterialFuel-IfcHeatingValueMeasure,,
,gasTypeEnum ,IfcMaterialProperties-Pset_MaterialCommon-Pset_MaterialCombustion,,
,hOutsideUnitTypeEnum ,IfcHeatFluxDensityMeasure,,
,hydronicEquipTypeEnum ,IfcConstructionEquipmentResourceTypeEnum,,
,illuminanceUnitEnum ,IfcIlluminanceMeasure,,
,infiltrationTypeEnum ,Pset_AirSideSystemInformation-IfcVolumetricFlowRateMeasure,,
,intEquipTypeEnum ,IfcUnitaryEquipmentTypeEnum,,
,inverseTempUnitEnum ,IfcThermodynamicTemperatureMeasure,,
,lengthUnitEnum ,IfcLengthMeasure,,
,lifeUnitEnum ,Pset_ServiceLifeFactors,,
,lightControlTypeEnum ,IfcLightFixtureTypeEnum,,
,loadUnitEnum ,IfcStructuralLoadConfiguration-IfcStructuralLoadOrResult,,
,loopTypeEnum ,IfcConstructionEquipmentResourceType-IfcConstructionEquipmentResourceTypeEnum,,
,openingTypeEnum ,IfcOpeningElementTypeEnum,,
,operationTypeEnum ,IfcController-IfcControllerType,,
,peopleHeatGainTypeEnum ,Pset_SpaceThermalLoad,,
,peopleHeatGainUnitEnum ,Pset_SpaceThermalLoad.People,,
,peopleNumberUnitEnum ,Pset_SpaceOccupancyRequirements,,
,permUnitEnum ,Pset_MaterialHygroscopic-IfcPositiveRatioMeasure ,,
,powerPerAreaUnitEnum ,IfcHeatFluxDensityMeasure,,
,powerTypeEnum ,IfcPowerMeasure,,
,powerUnitEnum ,IfcPowerMeasure,,
,powerUseTypeEnum ,IfcHeatFluxDensityMeasure,,
,pressureUnitEnum ,IfcPressureMeasure,,
,radiationWavelengthTypeEnum ,IfcThermalTransmittanceMeasure-Pset_SensorTypeRadiationSensor,,
,reflectanceTypeEnum ,IfcReflectanceMethodEnum,,
,resetTemperatureTypeEnum ,IfcThermodynamicTemperatureMeasure,,
,resistanceUnitEnum ,IfcThermalResistanceMeasure,,
,resourceTypeEnum ,IfcConstructionEquipmentResourceType-IfcConstructionEquipmentResourceTypeEnum-IfcMaterial,,
,resultsExtraResourceTypeEnum ,IfcConstructionEquipmentResourceType-IfcStructuralResultGroup-IfcBooleanClippingResult-IfcBooleanResult-IfcStructuralLoadOrResult,,
,resultsTypeEnum ,IfcConstructionEquipmentResourceType-IfcStructuralResultGroup-IfcBooleanClippingResult-IfcBooleanResult-IfcStructuralLoadOrResult,,
,roofASHRAENumberEnum ,IfcStructuralLoadCase,,
,roofCLTDIndexEnum ,IfcRoof-IfcRoofType-Pset_RoofCommon-IfcMaterial,,
,roofColorEnum ,IfcRoof-IfcRoofType-Pset_RoofCommon,,
,roofCTSTypeEnum ,IfcRoofTypeEnum-IfcRoofType,,
,roughnessValueEnum ,IfcSpecularRoughness,,
,scheduleTypeEnum ,IfcTaskTypeEnum,,
,shadeOperationEnum ,IfcShadingDeviceTypeEnum,,
,shadeScheduleTypeEnum ,IfcShadingDeviceType-IfcShadingDeviceTypeEnum,,
,shadeTypeEnum ,IfcShadingDeviceTypeEnum,,
,sinkRateUnitEnum ,IfcSanitaryTerminal-Pset_SanitaryTerminalTypeCommon,,
,spaceTypeEnum ,IfcSpaceTypeEnum,,
,specificHeatUnitEnum ,IfcSpecificHeatCapacityMeasure,,
,stageTypeEnum ,IfcTask-IfcConstructionResource,,
,standardsTypeEnum ,IfcOrganization-IfcLabel-IfcText,,
,stationIdTypeEnum ,IfcSpatialZoneType,,
,surfaceTypeEnum ,IfcShapeRepresentationTypes-IfcSurfaceFeatureTypeEnum,,
,systemTypeEnum ,null,,
,temperatureUnitEnum ,IfcThermodynamicTemperatureMeasure,,
,tempTypeEnum ,IfcThermodynamicTemperatureMeasure,,
,timePeriodEnum ,IfcDuration,,
,timeUnitEnum ,IfcTime,,
,transportationTypeEnum ,IfcConstructionEquipmentResourceType,,
,unitlessSmallUnitEnum ,IfcUnit-IfcUnitEnum,,
,unitlessUnitEnum ,IfcUnit-IfcUnitEnum,,
,uValueUnitEnum ,IfcValue-IfcSimpleValue-IfcMeasureValue-IfcDerivedMeasureValue,,
,valueTypeEnum ,IfcValue-IfcSimpleValue-IfcMeasureValue-IfcDerivedMeasureValue,,
,vegetationTypeEnum ,Qto_SiteBaseQuantities-Pset_SiteCommon,,
,velocityUnitEnum ,IfcAngularVelocityMeasure-IfcLinearVelocityMeasure,,
,versionEnum ,null,,
,viscosityFofTUnitEnum ,IfcDynamicViscosityMeasure,,
,viscosityUnitEnum ,IfcKinematicViscosityMeasure,,
,volumeUnitEnum ,IfcVolumeMeasure,,
,wallASHRAEGroupEnum ,IfcStructuralLoadCase,,
,wallColorEnum ,IfcWall-IfcWallType-Pset_RoofCommon,,
,wallCTSTypeEnum ,IfcWallTypeEnum-IfcWallType,,
,wallGroupManualJEnum ,IfcWall-IfcGroup-IfcStructuralLoadGroup,,
,waterUseUnitEnum ,Pset_MaterialWater-Pset_FlowMeterTypeWaterMeter-IfcVolumetricFlowRateMeasure ,,
,weightUnitEnum ,IfcMassMeasure-IfcQuantityWeight,,
,windSpeedEnum ,Pset_OutsideDesignCriteria,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
